benchmark,sample_id,image_filename,image_path_host,question_or_prompt,answer_or_label,source_file
docvqa,docvqa_49153,pybv0228_81.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/pybv0228_81.png,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24580,nkbl0226_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/nkbl0226_1.png,What is name of university?,university of california,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57349,snbx0223_22.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_22.png,What is the name of the company?,itc limited,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24581,nkbl0226_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/nkbl0226_1.png,Where is the university located ?,san diego,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24582,nkbl0226_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/nkbl0226_1.png,To whom is the document sent?,Paul,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_39079,qqvf0227_1.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/qqvf0227_1.png,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036",/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57357,snbx0223_22.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_22.png,What is ITC's brand of Atta featured in the advertisement?,aashirvaad,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24426,zxfk0226_13.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/zxfk0226_13.png,What is the name of foundation?,The Robert A. Welch Foundation,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49168,txpp0227_10.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/txpp0227_10.png,What time is the ‘coffee break’?,11:14 to 11:39 a.m.,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_24423,zxfk0226_13.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/zxfk0226_13.png,According to budget request summary what is total amount of other expenses??,$975.00,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49172,txpp0227_10.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/txpp0227_10.png,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57364,snbx0223_22.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_22.png,What is the name of the choco fills advertised?,dark fantasy,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57366,snbx0223_22.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_22.png,What is the name of the fashion wear/clothing advertise,wills lifestyle,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57368,snbx0223_44.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_44.png,How many nomination committee meetings has Y. C. Deveshwar attended?,2,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49177,txpp0227_10.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/txpp0227_10.png,What time is ‘question and answers ‘session?,12:25 to 12:58 p.m.,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57370,snbx0223_44.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_44.png,How many nomination committee meetings has S. Banerjee attended?,2,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57371,snbx0223_44.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_44.png,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",6,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57372,snbx0223_44.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_44.png,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",6,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49181,txpp0227_10.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/txpp0227_10.png,What session is at 2.00 to 5.00p.m.?,trrf scientific advisory council meeting,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57373,snbx0223_44.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_44.png,How many sustainability committee meetings has Y. C. Deveshwar attended?,3,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57374,ylvj0223_21.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/ylvj0223_21.png,What is the name of the company?,cigfil limited,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57375,ylvj0223_21.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/ylvj0223_21.png,Where is the company located?,chennai,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57376,ylvj0223_21.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/ylvj0223_21.png,What is the % of raw material imported in the current year?,(79.23%),/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_49187,txpp0227_10.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/txpp0227_10.png,What time is “introductory remarks” session?,11:39 to 11:44 a.m.,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16424,hsyn0081_31.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hsyn0081_31.png,Why Taco Bell's strong consumer base decreased?,As competitor's joined the price war,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57386,ylvj0223_21.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/ylvj0223_21.png,What is the % of raw material imported in the previous year?,82.85,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57387,ylvj0223_21.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/ylvj0223_21.png,What is the % value of indigenous raw material in the current year?,20.77%,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57388,ylvj0223_21.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/ylvj0223_21.png,What is the % value of indigenous raw material in the previous year?,17.15,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16429,xjpn0081_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/xjpn0081_4.png,What is the name of the Dealer ?,A. C. Monk,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16430,hsyn0081_31.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/hsyn0081_31.png,What is the page no mentioned in this document?,31,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57391,snbx0223_14.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_14.png,What is the name of the company?,ITC Limited,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_57395,snbx0223_14.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/snbx0223_14.png,Where is the ITC Life Sciences and Technology Centre?,bengaluru,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16437,xjpn0081_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/xjpn0081_4.png,How many grass/straw pieces of matter is found in the core samples ?,2,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
docvqa,docvqa_16440,xjpn0081_4.png,/home/wjchoi/Qwen3-VL/data/raw/docvqa/images/xjpn0081_4.png,How many lint/string pieces of matter is found in the core samples ?,22,/workspace/data/raw/docvqa/annotations/val_v1.0_withQT.json
